keyword,label,category,note
拉萨东环路第一,拉萨天团(游资聚集地),游资,东方财富证券拉萨系营业部，长期被市场认为是短线游资/大户集中下单渠道
拉萨东环路第二,拉萨天团(游资聚集地),游资,东方财富证券拉萨系营业部，长期被市场认为是短线游资/大户集中下单渠道
拉萨团结路,拉萨天团(游资聚集地),游资,中国国际金融拉萨系营业部，长期被市场认为是短线游资/大户集中下单渠道
上海溧阳路,知名游资聚集地(上海溧阳路),游资,中信证券上海溧阳路营业部，市场长期报道为知名游资常驻席位
华鑫证券有限责任公司上海分公司,知名游资聚集地(华鑫上海),游资,华鑫证券上海分公司，市场长期报道为知名游资常驻席位，具体操盘方未经官方确认
绍兴金柯桥大道,绍兴帮(游资聚集地),游资,中国银河证券绍兴营业部，市场俗称"绍兴帮"资金聚集地
深圳福华一路,深圳超短游资聚集地,游资,中国国际金融深圳福华一路营业部，市场长期报道为短线游资常驻席位
深圳益田路,深圳游资聚集地,游资,多家券商深圳益田路系营业部，市场报道为大户/游资集中区域
泰然九路,深圳游资聚集地(泰然九路),游资,国信证券深圳泰然九路营业部，市场报道为大户/游资集中区域
杭州曙光路,杭州游资聚集地(曙光路),游资,财通证券杭州曙光路营业部，市场报道为短线资金常驻席位
杭州飞云江路,杭州游资聚集地(飞云江路),游资,财通证券杭州系营业部，市场报道为短线资金常驻席位
西藏东环路,拉萨天团(游资聚集地),游资,拉萨系营业部统称，多家券商在此设点，短线资金集中
北京西城区平安里,北京游资聚集地,游资,市场报道为北方游资常驻席位之一
温州鹿城路,温州帮(游资聚集地),游资,市场俗称"温州帮"资金聚集地，具体操盘方未经官方确认
佛山绿景路,佛山系(游资聚集地),游资,市场俗称"佛山系"资金聚集地，具体操盘方未经官方确认
